id,title,genres,overview,tagline,cast,crew
862,Toy Story,"['Animation', 'Comedy', 'Family']","led by woody, andy's toys live happily in his room until andy's birthday brings buzz lightyear onto the scene. afraid of losing his place in andy's heart, woody plots against buzz. but when circumstances separate buzz and woody from their owner, the duo eventually learns to put aside their differences.",unknown,"['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney', 'Wallace Shawn']",['John Lasseter']
8844,Jumanji,"['Adventure', 'Fantasy', 'Family']","when siblings judy and peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite alan -- an adult who's been trapped inside the game for 26 years -- into their living room. alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",roll the dice and unleash the excitement!,"['Robin Williams', 'Jonathan Hyde', 'Kirsten Dunst', 'Bradley Pierce', 'Bonnie Hunt']",['Joe Johnston']
11862,Father of the Bride Part II,['Comedy'],"just when george banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that george's wife, nina, is expecting too. he was planning on selling their home, but that's a plan that -- like george -- will have to change with the arrival of both a grandchild and a kid of his own.",just when his world is back to normal... he's in for the surprise of his life!,"['Steve Martin', 'Diane Keaton', 'Martin Short', 'Kimberly Williams-Paisley', 'George Newbern']",['Charles Shyer']
949,Heat,"['Action', 'Crime', 'Drama', 'Thriller']","obsessive master thief, neil mccauley leads a top-notch crew on various insane heists throughout los angeles while a mentally unstable detective, vincent hanna pursues him without rest. each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",a los angeles crime saga,"['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Jon Voight', 'Tom Sizemore']",['Michael Mann']
9091,Sudden Death,"['Action', 'Adventure', 'Thriller']","international action superstar jean claude van damme teams with powers boothe in a tension-packed, suspense thriller, set against the back-drop of a stanley cup game.van damme portrays a father whose daughter is suddenly taken during a championship hockey game. with the captors demanding a billion dollars by game's end, van damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",terror goes into overtime.,"['Jean-Claude Van Damme', 'Powers Boothe', 'Dorian Harewood', 'Raymond J. Barry', 'Ross Malinger']",['Peter Hyams']
710,GoldenEye,"['Adventure', 'Action', 'Thriller']",james bond must unmask the mysterious head of the janus syndicate and prevent the leader from utilizing the goldeneye weapons system to inflict devastating revenge on britain.,no limits. no fears. no substitutes.,"['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco', 'Famke Janssen', 'Joe Don Baker']",['Martin Campbell']
9087,The American President,"['Comedy', 'Drama', 'Romance']","widowed u.s. president andrew shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is sydney ellen wade, a washington lobbyist. but shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",why can't the most powerful man in the world have the one thing he wants most?,"['Michael Douglas', 'Annette Bening', 'Michael J. Fox', 'Martin Sheen', 'Anna Deavere Smith']",['Rob Reiner']
12110,Dracula: Dead and Loving It,"['Comedy', 'Horror']","when a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. enter dr. van helsing, who may be the only one able to vanquish the count.",unknown,"['Leslie Nielsen', 'Mel Brooks', 'Amy Yasbeck', 'Peter MacNicol', 'Lysette Anthony']",['Mel Brooks']
21032,Balto,"['Family', 'Animation', 'Adventure']","an outcast half-wolf risks his life to prevent a deadly epidemic from ravaging nome, alaska.",part dog. part wolf. all hero.,"['Kevin Bacon', 'Bob Hoskins', 'Bridget Fonda', 'Jim Cummings', 'Phil Collins']",['Simon Wells']
524,Casino,"['Drama', 'Crime']",the life of the gambling paradise – las vegas – and its dark mafia underbelly.,no one stays at the top forever.,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods', 'Don Rickles']",['Martin Scorsese']
4584,Sense and Sensibility,"['Drama', 'Romance']","rich mr. dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. two daughters are the titular opposites.",lose your heart and come to your senses.,"['Kate Winslet', 'Emma Thompson', 'Hugh Grant', 'Tom Wilkinson', 'Alan Rickman']",['Ang Lee']
