id,title,tags
862,Toy Story,Toy Story Animation Comedy Family TomHanks TimAllen DonRickles JimVarney WallaceShawn JohnLasseter unknown woodi andi toy live happili room andi birthday bring buzz lightyear onto scene afraid lose place andi heart woodi plot buzz circumst separ buzz woodi owner eventu learn asid differ
8844,Jumanji,Jumanji Adventure Fantasy Family RobinWilliams JonathanHyde KirstenDunst BradleyPierce BonnieHunt JoeJohnston roll dice unleash excit sibl judi peter discov enchant board game open door magic world unwittingli invit alan adult trap insid game year live room alan hope freedom finish game prove riski three find run giant rhinoceros evil monkey terrifi creatur
11862,Father of the Bride Part II,Father of the Bride Part II Comedy SteveMartin DianeKeaton MartinShort KimberlyWilliams-Paisley GeorgeNewbern CharlesShyer world back normal surpris life georg bank recov daughter wed receiv news pregnant georg wife nina expect plan sell home plan like georg chang arriv grandchild
949,Heat,Heat Action Crime Drama Thriller AlPacino RobertDeNiro ValKilmer JonVoight TomSizemore MichaelMann angel crime saga obsess master thief neil mccauley lead notch crew variou insan heist throughout angel mental unstabl detect vincent hanna pursu without rest recogn respect abil dedic even though awar mous game violenc
9091,Sudden Death,Sudden Death Action Adventure Thriller Jean-ClaudeVanDamme PowersBoothe DorianHarewood RaymondJ.Barry RossMalinger PeterHyams terror goe overtim intern action superstar jean claud damm team power booth tension pack suspens thriller back drop stanley game damm portray father whose daughter suddenli taken championship hockey game captor demand billion dollar game damm frantic set plan motion rescu daughter abort impend explos final buzzer
710,GoldenEye,GoldenEye Adventure Action Thriller PierceBrosnan SeanBean IzabellaScorupco FamkeJanssen JoeDonBaker MartinCampbell limit fear substitut jame bond must unmask mysteri head janu syndic prevent leader util goldeney weapon system inflict devast reveng britain
9087,The American President,The American President Comedy Drama Romance MichaelDouglas AnnetteBening MichaelJ.Fox MartinSheen AnnaDeavereSmith RobReiner power world thing want widow presid andrew shepherd world power anyth want covet sydney ellen wade washington lobbyist shepherd attempt court spark wild rumor decim approv rate
12110,Dracula: Dead and Loving It,Dracula: Dead and Loving It Comedy Horror LeslieNielsen MelBrooks AmyYasbeck PeterMacNicol LysetteAnthony MelBrooks unknown lawyer show vampir doorstep fall prey charm join search fresh blood enter hels abl vanquish count
21032,Balto,Balto Family Animation Adventure KevinBacon BobHoskins BridgetFonda JimCummings PhilCollins SimonWells part part wolf hero outcast half wolf risk life prevent deadli epidem ravag nome alaska
524,Casino,Casino Drama Crime RobertDeNiro SharonStone JoePesci JamesWoods DonRickles MartinScorsese stay forev life gambl paradis vega dark mafia underbelli
4584,Sense and Sensibility,Sense and Sensibility Drama Romance KateWinslet EmmaThompson HughGrant TomWilkinson AlanRickman AngLee lose heart come sens rich dashwood die leav second wife daughter poor rule inherit daughter titular opposit
5,Four Rooms,Four Rooms Crime Comedy TimRoth AntonioBanderas JenniferBeals Madonna MarisaTomei AllisonAnders AlexandreRockwell RobertRodriguez QuentinTarantino twelv outrag guest four scandal request lone bellhop first wildest year life bellhop first night hotel unusu guest place outrag predica seem even room servic serv unbeliev happen anoth
9273,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls Crime Comedy Adventure JimCarrey IanMcNeice SimonCallow MaynardEziashi BobGunton SteveOedekerk anim adventur hair summon ashram tibet find peril journey jungl africa find shikaka miss sacr anim friendli wachati tribe must accomplish wed wachati princess princ warrior wachootoo fail result viciou tribal
11517,Money Train,Money Train Action Comedy Crime WesleySnipes WoodyHarrelson JenniferLopez RobertBlake ChrisCooper JosephRuben veng york transit decid steal trainload subway fare foster brother fellow tri protect
